Timestamp,x-top,y-top,z-top,Bt-top,x-bottom,y-bottom,z-bottom,Bt-bottom,Bt-difference
04:07:03.304093,-493,-1107,-38,1212.41,-472,1383,11,1461.37,-248.9599999999998
04:07:03.607073,-489,-1109,-39,1212.65,-472,1382,11,1460.42,-247.76999999999998
04:07:03.910084,-491,-1110,-39,1214.37,-478,1382,10,1462.36,-247.99
04:07:04.213347,-492,-1111,-39,1215.69,-475,1382,10,1461.39,-245.70000000000005
04:07:04.516523,-499,-1108,-41,1215.87,-479,1384,9,1464.57,-248.70000000000005
04:07:04.819520,-504,-1112,-41,1221.57,-489,1382,7,1465.98,-244.41000000000008
04:07:05.122255,-503,-1116,-36,1224.65,-491,1386,4,1470.41,-245.76
04:07:05.425527,-499,-1120,-39,1226.75,-478,1392,2,1471.79,-245.03999999999996
04:07:05.728503,-494,-1120,-36,1224.64,-475,1396,5,1474.61,-249.9699999999998
04:07:06.031261,-505,-1131,-36,1239.15,-486,1386,9,1468.77,-229.6199999999999
04:07:06.334534,-529,-1152,-41,1268.32,-488,1383,5,1466.58,-198.26
04:07:06.637252,-542,-1138,-44,1261.25,-491,1378,3,1462.86,-201.6099999999999
04:07:06.940548,-564,-1125,-42,1259.16,-481,1377,8,1458.61,-199.44999999999982
04:07:07.243539,-571,-1117,-39,1255.09,-486,1376,-3,1459.31,-204.22000000000003
04:07:07.546271,-565,-1120,-41,1255.11,-481,1376,3,1457.65,-202.5400000000002
04:07:07.849134,-561,-1114,-43,1248.02,-488,1377,2,1460.92,-212.9000000000001
04:07:08.152539,-568,-1114,-43,1251.19,-495,1374,5,1460.45,-209.26
04:07:08.455448,-571,-1116,-45,1254.4,-525,1382,7,1478.38,-223.98000000000002
04:07:08.758438,-578,-1115,-40,1256.55,-510,1428,3,1516.34,-259.78999999999996
04:07:09.061468,-568,-1122,-38,1258.15,-479,1440,1,1517.58,-259.42999999999984
04:07:09.364353,-577,-1123,-42,1263.26,-491,1437,3,1518.57,-255.30999999999995
04:07:09.667472,-583,-1118,-43,1261.61,-514,1429,0,1518.63,-257.0200000000002
04:07:09.970441,-588,-1117,-40,1262.95,-511,1425,0,1513.85,-250.89999999999986
04:07:10.273462,-584,-1112,-43,1256.76,-509,1420,-1,1508.47,-251.71000000000004
04:07:10.576512,-591,-1105,-40,1253.76,-502,1418,1,1504.24,-250.48000000000002
04:07:10.879468,-590,-1103,-43,1251.62,-515,1418,-2,1508.63,-257.0100000000002
04:07:11.182440,-589,-1102,-42,1250.24,-504,1417,-4,1503.97,-253.73000000000002
04:07:11.485523,-510,-1130,-40,1240.4,-507,1419,3,1506.86,-266.4599999999998
04:07:11.788466,-506,-1131,-39,1239.64,-506,1418,4,1505.58,-265.9399999999998
04:07:12.091297,-503,-1136,-42,1243.09,-512,1419,3,1508.55,-265.46000000000004
04:07:12.394450,-512,-1139,-43,1249.53,-517,1419,0,1510.25,-260.72
04:07:12.697122,-609,-1058,-43,1221.51,-512,1423,-1,1512.31,-290.79999999999995
04:07:13.000510,-590,-1066,-46,1219.25,-508,1424,3,1511.9,-292.6500000000001
04:07:13.303477,-576,-1073,-41,1218.52,-511,1426,2,1514.79,-296.27
04:07:13.606321,-584,-1069,-39,1218.74,-515,1429,2,1518.97,-300.23
04:07:13.909552,-592,-1066,-41,1220.04,-415,1445,17,1503.51,-283.47
04:07:14.212515,-597,-1061,-41,1218.12,-413,1442,17,1500.07,-281.95000000000005
04:07:14.515134,-604,-1052,-43,1213.82,-420,1439,17,1499.14,-285.32000000000016
04:07:14.818515,-600,-1055,-40,1214.34,-408,1444,10,1500.57,-286.23
04:07:15.121434,-565,-1078,-41,1217.78,-534,1364,-3,1464.81,-247.02999999999997
04:07:15.424489,-550,-1079,-41,1211.78,-508,1373,-2,1463.97,-252.19000000000005
04:07:15.727515,-543,-1086,-41,1214.88,-481,1382,5,1463.32,-248.43999999999983
04:07:16.030336,-544,-1088,-44,1217.22,-475,1389,2,1467.97,-250.75
04:07:16.333191,-542,-1097,-42,1224.31,-509,1386,-2,1476.51,-252.20000000000005
04:07:16.636488,-531,-1099,-41,1221.25,-453,1410,1,1480.98,-259.73
04:07:16.939322,-525,-1105,-36,1223.91,-441,1412,7,1479.28,-255.3699999999999
04:07:17.242157,-519,-1108,-36,1224.06,-437,1413,9,1479.06,-255.0
04:07:17.545101,-516,-1110,-36,1224.6,-438,1407,5,1473.61,-249.01
04:07:17.848205,-513,-1109,-36,1222.43,-438,1402,5,1468.83,-246.39999999999986
