Timestamp,x-top,y-top,z-top,Bt-top,x-bottom,y-bottom,z-bottom,Bt-bottom,Bt-difference
04:08:16.025004,-493,-1110,-40,1215.22,-475,1381,11,1460.45,-245.23000000000002
04:08:16.327786,-492,-1108,-41,1213.02,-474,1382,11,1461.07,-248.04999999999995
04:08:16.630963,-492,-1109,-40,1213.9,-474,1384,11,1462.96,-249.05999999999995
04:08:16.933808,-496,-1113,-41,1219.21,-475,1383,11,1462.34,-243.12999999999988
04:08:17.236719,-505,-1112,-41,1221.99,-479,1384,10,1464.58,-242.58999999999992
04:08:17.539793,-505,-1116,-36,1225.47,-490,1384,8,1468.2,-242.73000000000002
04:08:17.842850,-496,-1121,-38,1226.42,-483,1392,-1,1473.42,-247.0
04:08:18.145985,-497,-1124,-37,1229.53,-468,1400,7,1476.17,-246.6400000000001
04:08:18.448925,-497,-1121,-36,1226.76,-465,1401,10,1476.19,-249.43000000000006
04:08:18.751830,-529,-1152,-38,1268.22,-478,1390,9,1469.92,-201.70000000000005
04:08:19.054899,-545,-1141,-45,1265.28,-476,1386,5,1465.47,-200.19000000000005
04:08:19.357921,-573,-1122,-40,1260.48,-467,1384,7,1460.68,-200.20000000000005
04:08:19.660937,-572,-1120,-38,1258.18,-475,1384,3,1463.25,-205.06999999999994
04:08:19.963811,-564,-1117,-41,1251.98,-460,1386,2,1460.34,-208.3599999999999
04:08:20.266951,-572,-1115,-43,1253.9,-469,1384,6,1461.32,-207.41999999999985
04:08:20.569966,-572,-1116,-45,1254.86,-470,1386,9,1463.55,-208.69000000000005
04:08:20.872982,-576,-1112,-45,1253.13,-491,1380,8,1464.77,-211.63999999999987
04:08:21.175946,-580,-1116,-41,1258.39,-517,1426,1,1516.83,-258.4399999999998
04:08:21.479033,-573,-1123,-37,1261.28,-504,1434,-4,1520.0,-258.72
04:08:21.781731,-577,-1123,-43,1263.29,-506,1433,1,1519.71,-256.4200000000001
04:08:22.084730,-590,-1114,-42,1261.29,-510,1433,5,1521.06,-259.77
04:08:22.387865,-590,-1115,-40,1262.11,-514,1429,1,1518.63,-256.5200000000002
04:08:22.690781,-589,-1108,-41,1255.49,-512,1423,-4,1512.31,-256.81999999999994
04:08:22.993885,-592,-1106,-39,1255.08,-508,1423,-2,1510.96,-255.8800000000001
04:08:23.296881,-590,-1101,-43,1249.86,-514,1416,3,1506.41,-256.5500000000002
04:08:23.600046,-587,-1099,-39,1246.55,-514,1419,-3,1509.23,-262.68000000000006
04:08:23.902998,-616,-1047,-44,1215.57,-495,1425,5,1508.53,-292.96000000000004
04:08:24.206000,-611,-1046,-47,1212.29,-506,1421,1,1508.4,-296.1100000000001
04:08:24.508921,-610,-1048,-45,1213.44,-509,1423,3,1511.3,-297.8599999999999
04:08:24.811881,-605,-1056,-46,1217.9,-514,1418,0,1508.28,-290.3799999999999
04:08:25.114823,-601,-1061,-37,1219.96,-518,1420,-3,1511.53,-291.56999999999994
04:08:25.417789,-592,-1064,-46,1218.47,-524,1420,-5,1513.61,-295.1399999999999
04:08:25.720991,-590,-1068,-43,1220.89,-521,1419,0,1511.62,-290.7299999999998
04:08:26.023892,-587,-1066,-40,1217.59,-521,1426,1,1518.2,-300.6100000000001
04:08:26.326923,-589,-1069,-40,1221.18,-505,1387,-2,1476.08,-254.89999999999986
04:08:26.630017,-564,-1078,-41,1217.32,-501,1382,-2,1470.01,-252.69000000000005
04:08:26.932929,-579,-1068,-40,1215.51,-494,1376,5,1462.0,-246.49
04:08:27.235657,-571,-1074,-40,1217.01,-500,1379,-2,1466.85,-249.83999999999992
04:08:27.538665,-561,-1081,-40,1218.56,-487,1385,1,1468.13,-249.57000000000016
04:08:27.841992,-562,-1076,-42,1214.65,-490,1383,4,1467.24,-252.58999999999992
04:08:28.144928,-552,-1082,-41,1215.36,-487,1388,4,1470.96,-255.60000000000014
04:08:28.447663,-549,-1085,-43,1216.75,-475,1388,4,1467.03,-250.27999999999997
