Timestamp,x-top,y-top,z-top,Bt-top,x-bottom,y-bottom,z-bottom,Bt-bottom,Bt-difference
01:44:36.576048,-596,-1060,-41,1216.76,-781,1194,-27,1427.0,-210.24
01:44:36.879342,-598,-1061,-38,1218.51,-784,1191,-26,1426.12,-207.6099999999999
01:44:37.182307,-598,-1063,-40,1220.32,-782,1195,-26,1428.36,-208.03999999999996
01:44:37.485168,-597,-1064,-39,1220.67,-780,1192,-25,1424.74,-204.06999999999994
01:44:37.788334,-591,-1066,-38,1219.46,-772,1194,-23,1422.02,-202.55999999999995
01:44:38.090982,-597,-1063,-42,1219.89,-781,1189,-24,1422.76,-202.8699999999999
01:44:38.393883,-590,-1064,-38,1217.23,-776,1195,-24,1425.05,-207.81999999999994
01:44:38.697142,-600,-1053,-38,1212.54,-773,1194,-22,1422.55,-210.01
01:44:38.999959,-588,-1044,-41,1198.9,-780,1187,-22,1420.51,-221.6099999999999
01:44:39.303174,-621,-1085,-45,1250.96,-776,1191,-22,1421.67,-170.71000000000004
01:44:39.606395,-622,-1078,-42,1245.28,-777,1195,-24,1425.6,-180.31999999999994
01:44:39.908967,-612,-1042,-43,1209.2,-778,1195,-27,1426.2,-217.0
01:44:40.211930,-619,-1049,-41,1218.71,-782,1196,-23,1429.15,-210.44000000000005
01:44:40.515382,-612,-1050,-38,1215.93,-782,1198,-21,1430.79,-214.8599999999999
01:44:40.818184,-618,-1052,-42,1220.82,-785,1195,-20,1429.91,-209.09000000000015
01:44:41.120949,-614,-1053,-40,1219.59,-782,1196,-24,1429.17,-209.58000000000015
01:44:41.424316,-605,-1060,-39,1221.12,-774,1179,-25,1410.58,-189.46000000000004
01:44:41.727458,-610,-1054,-42,1218.52,-787,1247,-20,1474.71,-256.19000000000005
01:44:42.030315,-606,-1055,-40,1217.32,-796,1235,-27,1469.55,-252.23000000000002
01:44:42.333002,-602,-1053,-40,1213.6,-767,1188,-20,1414.23,-200.6300000000001
01:44:42.636064,-606,-1046,-36,1209.4,-773,1195,-22,1423.39,-213.99
01:44:42.938862,-607,-1045,-42,1209.23,-782,1190,-21,1424.1,-214.8699999999999
01:44:43.242052,-606,-1042,-43,1206.17,-783,1185,-23,1420.51,-214.33999999999992
01:44:43.544816,-610,-1045,-43,1210.77,-787,1185,-26,1422.77,-212.0
01:44:43.848063,-613,-1044,-43,1211.43,-791,1191,-28,1430.02,-218.58999999999992
01:44:44.150891,-616,-1050,-37,1217.92,-786,1197,-22,1432.16,-214.24
01:44:44.454188,-608,-1056,-38,1219.12,-787,1198,-23,1433.56,-214.44000000000005
01:44:44.757346,-615,-1054,-42,1221.03,-790,1190,-21,1428.51,-207.48000000000002
01:44:45.060185,-615,-1054,-42,1221.03,-788,1191,-22,1428.25,-207.22000000000003
01:44:45.363055,-615,-1056,-43,1222.79,-788,1190,-20,1427.39,-204.60000000000014
