Timestamp,500 G Sensor,1000 G Sensor,2000 G Sensor
01:33:20.356522,379625017.24,268435328.0,1213.35
01:33:20.659334,379625017.24,268435328.0,1212.16
01:33:20.962378,379625017.24,268435328.0,1212.93
01:33:21.265327,379625017.24,268435328.0,1210.04
01:33:21.568420,379625017.24,268435328.0,1214.86
01:33:21.871200,379625017.24,268435328.0,1213.02
01:33:22.174254,379625017.24,268435328.0,1217.06
01:33:22.477287,379625017.24,268435328.0,1223.33
01:33:22.780530,379625017.24,268435328.0,1223.01
01:33:23.083345,379625017.24,268435328.0,1221.64
01:33:23.386381,379625017.24,268435328.0,1225.54
01:33:23.689389,379625017.24,268435328.0,1224.64
01:33:23.992319,379625017.24,268435328.0,1223.48
01:33:24.295359,379625017.24,268435328.0,1230.14
01:33:24.598390,379625017.24,268435328.0,1227.22
01:33:24.901368,379625017.24,268435328.0,1228.5
01:33:25.204474,379625017.24,268435328.0,1224.27
01:33:25.507175,379625017.24,268435328.0,1221.84
01:33:25.810154,379625017.24,268435328.0,1225.02
01:33:26.113111,379625017.24,268435328.0,1222.9
01:33:26.416527,379625017.24,268435328.0,1217.94
01:33:26.719013,379625017.24,268435328.0,1218.73
01:33:27.022404,379625017.24,268435328.0,1226.69
01:33:27.325018,379625017.24,268435328.0,1220.52
01:33:27.628169,379625017.24,268435328.0,1227.79
01:33:27.931276,379625017.24,268435328.0,1232.56
01:33:28.234546,379625017.24,268435328.0,1232.3
01:33:28.537150,379625017.24,268435328.0,1234.92
01:33:28.840466,379625017.24,268435328.0,1230.95
01:33:29.143423,379625017.24,268435328.0,1223.22
01:33:29.446358,379625017.24,268435328.0,1223.89
01:33:29.749259,379625017.24,268435328.0,1222.02
01:33:30.052389,379625017.24,268435328.0,1219.12
01:33:30.355451,379625017.24,268435328.0,1221.21
01:33:30.658351,379625017.24,268435328.0,1220.06
01:33:30.961383,379625017.24,268435328.0,1217.72
01:33:31.264521,379625017.24,268435328.0,1218.38
01:33:31.567458,379625017.24,268435328.0,1214.48
01:33:31.870347,379625017.24,268435328.0,1211.42
01:33:32.173379,379625017.24,268435328.0,1214.24
01:33:32.476512,379625017.24,268435328.0,1217.36
01:33:32.779151,379625017.24,268435328.0,1216.36
01:33:33.082297,379625017.24,268435328.0,1218.17
01:33:33.385463,379625017.24,268435328.0,1217.09
01:33:33.688486,379625017.24,268435328.0,1218.64
01:33:33.991652,379625017.24,268435328.0,1225.58
01:33:34.294160,379625017.24,268435328.0,1222.62
01:33:34.597459,379625017.24,268435328.0,1222.71
01:33:34.900125,379625017.24,268435328.0,1226.58
01:33:35.203457,379625017.24,268435328.0,1223.54
01:33:35.506170,379625017.24,268435328.0,1221.65
01:33:35.809507,379625017.24,268435328.0,1222.62
01:33:36.112584,379625017.24,268435328.0,1223.57
01:33:36.415556,379625017.24,268435328.0,1219.64
01:33:36.718526,379625017.24,268435328.0,1222.63
