Timestamp,x-500,y-500,z-500,Bt-500,x-1000,y-1000,z-1000,Bt-1000,x-2000,y-2000,z-2000,Bt-2000
03:20:15.382083,-12.75,207.0,5.25,207.46,23.0,210.5,3.0,211.77,61,204,-1,212.93
03:20:15.684975,-10.0,207.0,5.25,207.31,27.5,211.0,3.0,212.81,57,204,-2,211.82
03:20:15.988065,-8.5,212.0,4.75,212.22,24.0,208.5,3.0,209.9,62,205,-1,214.17
03:20:16.291025,-11.5,211.75,5.5,212.13,23.5,213.0,3.0,214.31,60,203,-2,211.69
03:20:16.593821,-9.75,208.75,5.5,209.05,24.0,207.5,2.5,208.9,61,205,1,213.89
03:20:16.896743,-12.5,210.75,4.75,211.17,25.0,210.5,2.0,211.99,58,204,-1,212.09
03:20:17.200146,-10.0,209.25,3.75,209.52,26.0,210.0,2.5,211.62,60,203,0,211.68
03:20:17.502718,-11.75,209.25,4.75,209.63,24.0,211.0,1.5,212.37,61,203,-1,211.97
03:20:17.805814,-8.25,212.75,4.75,212.96,25.5,212.0,1.5,213.53,63,207,2,216.38
03:20:18.108630,-9.25,213.5,5.0,213.76,24.5,213.5,3.5,214.93,59,205,-1,213.32
03:20:18.411995,-9.25,212.5,5.25,212.77,24.0,212.5,3.5,213.88,60,207,1,215.52
03:20:18.714613,-11.0,209.75,6.0,210.12,24.0,213.5,4.0,214.88,57,207,0,214.7
03:20:19.017864,-10.0,208.25,5.25,208.56,20.0,210.0,3.0,210.97,57,205,-2,212.79
03:20:19.321032,-11.25,208.5,4.25,208.85,24.0,208.0,3.0,209.4,57,203,-2,210.86
03:20:19.623700,-9.75,210.5,4.25,210.77,22.5,211.0,2.0,212.21,58,206,-2,214.02
03:20:19.927164,-11.25,209.25,4.75,209.61,25.5,212.0,3.5,213.56,59,205,1,213.32
03:20:20.230086,-11.25,208.5,5.25,208.87,25.0,210.0,2.5,211.5,57,208,-3,215.69
03:20:20.533093,-8.5,209.25,5.25,209.49,27.0,210.5,2.5,212.24,61,204,-2,212.93
03:20:20.836105,-9.75,209.0,4.5,209.28,27.0,207.0,2.0,208.76,61,205,-2,213.89
03:20:21.138963,-7.25,209.25,4.5,209.42,25.5,211.5,3.0,213.05,61,204,-3,212.95
03:20:21.441953,-8.5,212.25,5.25,212.48,25.0,213.0,4.0,214.5,61,205,1,213.89
03:20:21.744954,-5.0,212.75,4.5,212.86,26.5,213.0,3.0,214.66,62,208,1,217.05
03:20:22.048176,-9.5,210.75,4.75,211.02,24.5,213.0,3.5,214.43,60,207,0,215.52
03:20:22.350887,-12.0,209.5,5.5,209.92,23.5,212.5,4.0,213.83,61,206,0,214.84
03:20:22.653761,-10.0,209.0,5.75,209.32,22.5,212.5,3.0,213.71,57,207,0,214.7
03:20:22.957063,-11.0,209.75,4.5,210.09,23.5,212.5,3.5,213.82,58,207,1,214.97
03:20:23.260216,-10.0,209.25,5.25,209.55,23.0,212.0,4.0,213.28,60,209,0,217.44
03:20:23.563201,-10.5,212.5,4.75,212.81,24.0,213.5,3.5,214.87,58,206,-2,214.02
03:20:23.866195,-10.5,211.5,5.5,211.83,25.0,212.0,3.0,213.49,59,205,-2,213.33
