Timestamp,x-top,y-top,z-top,Bt-top,x-bottom,y-bottom,z-bottom,Bt-bottom,Bt-difference
01:58:59.828923,-603,-1055,-41,1215.86,-779,1189,-27,1421.72,-205.86000000000013
01:59:00.131697,-604,-1054,-41,1215.49,-782,1188,-25,1422.5,-207.01
01:59:00.435025,-602,-1054,-39,1214.43,-779,1189,-27,1421.72,-207.28999999999996
01:59:00.737891,-607,-1058,-37,1220.32,-779,1188,-27,1420.88,-200.56000000000017
01:59:01.040870,-595,-1061,-35,1216.95,-780,1195,-26,1427.27,-210.31999999999994
01:59:01.343771,-598,-1065,-40,1222.06,-779,1196,-21,1427.48,-205.42000000000007
01:59:01.646904,-601,-1067,-40,1225.27,-781,1194,-22,1426.91,-201.6400000000001
01:59:01.949717,-603,-1060,-38,1220.1,-783,1193,-24,1427.2,-207.10000000000014
01:59:02.252771,-606,-1057,-41,1219.08,-769,1196,-24,1422.09,-203.01
01:59:02.555637,-606,-1056,-38,1218.12,-768,1195,-23,1420.7,-202.58000000000015
01:59:02.858832,-606,-1052,-42,1214.79,-772,1193,-26,1421.24,-206.45000000000005
01:59:03.161812,-605,-1052,-39,1214.19,-768,1196,-21,1421.51,-207.31999999999994
01:59:03.464688,-608,-1049,-41,1213.16,-767,1196,-21,1420.97,-207.80999999999995
01:59:03.768039,-609,-1047,-43,1212.0,-769,1195,-20,1421.19,-209.19000000000005
01:59:04.070668,-611,-1047,-42,1212.97,-767,1210,-21,1432.77,-219.79999999999995
01:59:04.373555,-617,-1048,-43,1216.9,-774,1198,-26,1426.52,-209.6199999999999
01:59:04.676823,-615,-1055,-36,1221.7,-780,1192,-26,1424.76,-203.05999999999995
01:59:04.979441,-609,-1058,-37,1221.32,-780,1198,-20,1429.69,-208.37000000000012
01:59:05.282836,-611,-1061,-39,1224.97,-782,1198,-20,1430.78,-205.80999999999995
01:59:05.585497,-607,-1058,-40,1220.42,-779,1196,-23,1427.51,-207.08999999999992
01:59:05.888827,-603,-1062,-38,1221.84,-772,1199,-25,1426.26,-204.42000000000007
01:59:06.191851,-607,-1056,-41,1218.71,-769,1193,-22,1419.54,-200.82999999999993
01:59:06.494854,-600,-1060,-39,1218.66,-778,1190,-26,1421.99,-203.32999999999993
01:59:06.797527,-590,-1067,-40,1219.91,-778,1188,-27,1420.34,-200.42999999999984
01:59:07.100868,-591,-1065,-39,1218.62,-776,1191,-27,1421.75,-203.1300000000001
01:59:07.403863,-594,-1066,-40,1220.98,-777,1186,-26,1418.1,-197.1199999999999
