Timestamp,x-500,y-500,z-500,Bt-500,x-1000,y-1000,z-1000,Bt-1000,x-2000,y-2000,z-2000,Bt-2000
03:19:54.474922,-14.0,210.5,4.75,211.02,23.0,210.5,3.0,211.77,57,205,-3,212.8
03:19:54.777982,-16.25,211.5,3.5,212.15,22.0,209.5,1.5,210.66,56,205,0,212.51
03:19:55.081010,-10.25,206.25,4.75,206.56,19.0,209.0,2.0,209.87,55,203,-2,210.33
03:19:55.383785,-9.0,208.25,6.0,208.53,21.5,207.5,3.0,208.63,57,203,0,210.85
03:19:55.686895,-11.25,208.5,4.5,208.85,26.5,207.5,2.5,209.2,59,205,-3,213.34
03:19:55.989760,-9.0,210.0,3.5,210.22,22.5,211.0,1.0,212.2,60,203,-2,211.69
03:19:56.292928,-9.5,207.5,5.0,207.78,24.0,211.5,2.5,212.87,60,204,0,212.64
03:19:56.595950,-9.25,211.75,4.75,212.01,25.0,212.0,2.5,213.48,62,207,-2,216.09
03:19:56.898971,-11.75,210.5,5.0,210.89,26.0,209.5,3.0,211.13,62,204,-2,213.22
03:19:57.201948,-10.75,209.75,5.25,210.09,21.5,211.5,3.0,212.61,59,206,0,214.28
03:19:57.504785,-11.5,209.25,5.25,209.63,24.0,210.5,4.0,211.9,58,207,-2,214.98
03:19:57.807799,-13.5,210.25,5.0,210.74,23.0,212.5,3.5,213.77,58,203,1,211.13
03:19:58.110782,-12.0,209.0,5.25,209.41,25.5,214.0,2.5,215.53,58,208,0,215.94
03:19:58.413881,-14.5,211.25,3.75,211.78,22.0,212.0,2.0,213.15,59,206,-2,214.29
03:19:58.716762,-10.0,211.5,4.0,211.77,26.0,212.0,2.5,213.6,60,200,0,208.81
03:19:59.019926,-8.75,207.75,4.5,207.98,22.5,210.0,2.0,211.21,60,204,1,212.64
03:19:59.322528,-10.0,209.0,4.25,209.28,21.5,211.0,3.0,212.11,60,204,-1,212.64
03:19:59.625976,-10.0,210.0,4.75,210.29,25.5,210.0,2.0,211.55,60,206,-2,214.57
03:19:59.928449,-10.0,210.75,4.25,211.03,27.0,211.5,2.0,213.23,63,203,-2,212.56
03:20:00.231776,-6.5,209.75,4.25,209.89,28.5,213.0,2.5,214.91,61,205,-2,213.89
03:20:00.534481,-7.75,213.0,4.75,213.19,25.5,213.5,1.5,215.02,63,205,-2,214.47
03:20:00.837987,-8.75,209.0,5.5,209.26,24.0,213.5,2.5,214.86,61,207,-2,215.81
03:20:01.140986,-13.5,210.0,5.25,210.5,23.5,212.0,4.0,213.34,57,205,-1,212.78
03:20:01.443960,-13.0,209.0,4.75,209.46,25.0,211.5,3.0,212.99,62,207,-2,216.09
03:20:01.747037,-9.5,210.0,5.25,210.28,22.5,211.0,2.0,212.21,59,204,0,212.36
03:20:02.049849,-9.0,212.5,5.25,212.76,22.0,212.0,3.5,213.17,59,205,-1,213.32
03:20:02.352972,-11.75,209.75,5.25,210.14,22.5,211.0,2.0,212.21,58,206,1,214.01
