time,Bx,By,Bz,Btotal
2023-06-06 11:5:07.6900,-963.98,468.77,-2624.19,2834.67
2023-06-06 11:5:07.7890,-965.34,467.46,-2627.24,2837.75
2023-06-06 11:5:07.8890,-963.5,468.92,-2622.57,2833.04
2023-06-06 11:5:07.9880,-965.72,467.3,-2627.91,2838.47
2023-06-06 11:5:08.0870,-963.58,469.15,-2622.36,2832.91
2023-06-06 11:5:08.1870,-966.12,467.5,-2628.01,2838.73
2023-06-06 11:5:08.2860,-963.53,468.88,-2622.6,2833.06
2023-06-06 11:5:08.3850,-965.61,467.6,-2626.65,2837.32
2023-06-06 11:5:08.4850,-964.98,468.18,-2625.29,2835.93
2023-06-06 11:5:08.5840,-964.34,468.0,-2621.46,2832.14
2023-06-06 11:5:08.6830,-966.57,465.71,-2625.54,2836.3
2023-06-06 11:5:08.7830,-965.93,465.75,-2621.6,2832.44
2023-06-06 11:5:08.8820,-969.02,463.57,-2624.8,2836.11
2023-06-06 11:5:08.9820,-968.84,463.39,-2621.05,2832.54
2023-06-06 11:5:09.0810,-971.78,460.77,-2624.56,2836.37
2023-06-06 11:5:09.1810,-971.82,460.24,-2623.39,2835.21
2023-06-06 11:5:09.2800,-973.02,458.81,-2625.89,2837.7
2023-06-06 11:5:09.3790,-973.26,458.29,-2626.34,2838.12
2023-06-06 11:5:09.4790,-972.69,459.31,-2623.15,2835.14
2023-06-06 11:5:09.5780,-973.59,459.42,-2627.93,2839.88
2023-06-06 11:5:09.6770,-973.96,460.09,-2629.63,2841.69
2023-06-06 11:5:09.7770,-975.5,459.86,-2635.36,2847.49
2023-06-06 11:5:09.8760,-975.36,461.29,-2635.43,2847.74
2023-06-06 11:5:09.9760,-976.75,460.6,-2639.45,2851.82
2023-06-06 11:5:10.0750,-975.71,460.94,-2639.18,2851.27
2023-06-06 11:5:10.1740,-974.8,460.3,-2638.79,2850.5
2023-06-06 11:5:10.2740,-974.2,460.27,-2637.53,2849.12
2023-06-06 11:5:10.3730,-974.61,458.95,-2637.43,2848.96
2023-06-06 11:5:10.4730,-973.66,458.52,-2635.31,2846.6
2023-06-06 11:5:10.5720,-973.06,458.47,-2634.28,2845.43
2023-06-06 11:5:10.6710,-972.45,457.93,-2633.45,2844.37
2023-06-06 11:5:10.7710,-971.25,457.76,-2634.6,2844.99
2023-06-06 11:5:10.8700,-971.08,456.4,-2637.82,2847.7
2023-06-06 11:5:10.9690,-970.63,455.1,-2640.77,2850.07
2023-06-06 11:5:11.0690,-970.81,454.59,-2644.33,2853.35
2023-06-06 11:5:11.1680,-969.83,451.86,-2646.02,2854.15
2023-06-06 11:5:11.2680,-969.21,449.13,-2649.35,2856.59
2023-06-06 11:5:11.3670,-968.97,444.51,-2652.82,2859.01
2023-06-06 11:5:11.4670,-968.18,439.8,-2655.76,2860.74
2023-06-06 11:5:11.5660,-967.89,436.92,-2656.71,2861.09
2023-06-06 11:5:11.6630,-966.73,434.64,-2655.44,2859.16
2023-06-06 11:5:11.7620,-966.36,431.83,-2657.66,2860.68
2023-06-06 11:5:11.8610,-966.46,429.99,-2659.56,2862.2
2023-06-06 11:5:11.9610,-967.65,426.95,-2663.35,2865.67
2023-06-06 11:5:12.0630,-969.23,424.21,-2669.42,2871.44
2023-06-06 11:5:12.1620,-970.9,420.64,-2675.8,2877.41
2023-06-06 11:5:12.2620,-970.82,418.57,-2677.01,2878.21
2023-06-06 11:5:12.3610,-970.22,415.57,-2678.15,2878.63
2023-06-06 11:5:12.4600,-969.54,412.63,-2678.22,2878.04
2023-06-06 11:5:12.5600,-968.21,410.39,-2676.7,2875.86
2023-06-06 11:5:12.6590,-967.48,410.13,-2676.99,2875.85
2023-06-06 11:5:12.7590,-966.56,409.94,-2675.86,2874.46
2023-06-06 11:5:12.8580,-965.14,410.18,-2676.27,2874.4
2023-06-06 11:5:12.9570,-964.35,411.51,-2674.0,2872.21
2023-06-06 11:5:13.0570,-964.54,413.51,-2672.85,2871.49
2023-06-06 11:5:13.1560,-964.91,416.75,-2671.41,2870.74
2023-06-06 11:5:13.2560,-966.17,423.48,-2664.98,2866.17
2023-06-06 11:5:13.3550,-966.18,424.25,-2664.41,2865.76
2023-06-06 11:5:13.4540,-965.14,422.71,-2665.09,2865.81
2023-06-06 11:5:13.5540,-963.91,421.96,-2662.55,2862.92
2023-06-06 11:5:13.6530,-964.19,419.87,-2663.91,2863.98
2023-06-06 11:5:13.7520,-966.0,417.43,-2670.87,2870.71
2023-06-06 11:5:13.8520,-965.33,414.41,-2671.33,2870.47
2023-06-06 11:5:13.9510,-961.01,414.25,-2659.68,2858.15
2023-06-06 11:5:14.0510,-959.59,415.22,-2647.81,2846.77
2023-06-06 11:5:14.1500,-960.13,415.36,-2645.7,2845.02
2023-06-06 11:5:14.2490,-962.72,414.14,-2652.98,2852.48
2023-06-06 11:5:14.3490,-964.9,408.35,-2675.27,2873.13
2023-06-06 11:5:14.4480,-966.28,405.69,-2684.42,2881.73
2023-06-06 11:5:14.5480,-964.69,405.74,-2680.16,2877.25
2023-06-06 11:5:14.6470,-963.54,404.96,-2679.46,2876.1
2023-06-06 11:5:14.7460,-962.44,404.29,-2678.43,2874.67
2023-06-06 11:5:14.8460,-961.27,403.39,-2678.66,2874.36
2023-06-06 11:5:14.9450,-961.28,403.32,-2676.7,2872.53
2023-06-06 11:5:15.0450,-962.1,403.02,-2678.1,2874.07
2023-06-06 11:5:15.1440,-962.09,402.86,-2677.39,2873.38
2023-06-06 11:5:15.2430,-962.67,401.44,-2678.63,2874.53
2023-06-06 11:5:15.3430,-963.3,401.44,-2680.12,2876.14
2023-06-06 11:5:15.4420,-965.12,401.59,-2685.53,2881.8
2023-06-06 11:5:15.5420,-965.61,400.48,-2689.07,2885.12
2023-06-06 11:5:15.6410,-966.28,399.39,-2690.96,2886.95
2023-06-06 11:5:15.7380,-965.11,398.14,-2689.79,2885.29
2023-06-06 11:5:15.8370,-966.27,396.77,-2691.2,2886.81
2023-06-06 11:5:15.9360,-966.66,395.59,-2690.47,2886.1
2023-06-06 11:5:16.0360,-967.62,395.28,-2693.46,2889.16
