time,Bx,By,Bz,Btotal
2023-06-08 13:2:10.8070,53.36,-3044.36,-100.04,3046.47
2023-06-08 13:2:10.9070,53.44,-3052.36,-99.96,3054.46
2023-06-08 13:2:11.0060,52.99,-3041.63,-100.6,3043.76
2023-06-08 13:2:11.1060,53.16,-3056.99,-99.62,3059.08
2023-06-08 13:2:11.2050,53.16,-3042.08,-99.97,3044.19
2023-06-08 13:2:11.3040,53.12,-3056.63,-99.33,3058.7
2023-06-08 13:2:11.4040,52.05,-3043.43,-101.57,3045.57
2023-06-08 13:2:11.5030,51.92,-3055.15,-100.23,3057.24
2023-06-08 13:2:11.6020,50.96,-3042.41,-109.07,3044.79
2023-06-08 13:2:11.7020,50.92,-3051.19,-107.23,3053.5
2023-06-08 13:2:11.8020,50.13,-3039.66,-104.57,3041.87
2023-06-08 13:2:11.9010,50.1,-3050.14,-102.2,3052.26
2023-06-08 13:2:12.0000,48.81,-3039.11,-94.4,3040.97
2023-06-08 13:2:12.1000,47.53,-3048.82,-91.77,3050.57
2023-06-08 13:2:12.1990,45.93,-3037.79,-86.7,3039.37
2023-06-08 13:2:12.2980,46.12,-3045.33,-72.48,3046.54
2023-06-08 13:2:12.3980,47.05,-3037.35,-84.24,3038.88
2023-06-08 13:2:12.4970,47.44,-3045.36,-81.14,3046.81
2023-06-08 13:2:12.5960,48.12,-3038.39,-86.84,3040.01
2023-06-08 13:2:12.6960,48.2,-3048.07,-91.1,3049.81
2023-06-08 13:2:12.7950,47.06,-3041.28,-97.93,3043.22
2023-06-08 13:2:12.8950,48.5,-3047.96,-107.1,3050.22
2023-06-08 13:2:12.9940,48.62,-3043.73,-119.08,3046.45
2023-06-08 13:2:13.0930,49.31,-3044.5,-126.15,3047.51
2023-06-08 13:2:13.1930,49.04,-3043.81,-132.85,3047.1
2023-06-08 13:2:13.2920,49.78,-3043.81,-142.61,3047.56
2023-06-08 13:2:13.3910,50.0,-3045.05,-136.69,3048.53
2023-06-08 13:2:13.4910,50.03,-3043.68,-159.16,3048.25
2023-06-08 13:2:13.5910,49.79,-3045.3,-159.89,3049.9
2023-06-08 13:2:13.6900,50.07,-3043.18,-158.23,3047.7
2023-06-08 13:2:13.7890,49.21,-3046.23,-158.09,3050.72
2023-06-08 13:2:13.8880,50.39,-3042.47,-151.77,3046.67
2023-06-08 13:2:13.9880,49.4,-3047.07,-153.56,3051.34
2023-06-08 13:2:14.0870,49.48,-3041.65,-143.16,3045.42
2023-06-08 13:2:14.1860,48.62,-3044.61,-139.08,3048.18
2023-06-08 13:2:14.2860,46.6,-3041.71,-133.06,3044.97
2023-06-08 13:2:14.3850,45.02,-3046.42,-138.27,3049.89
2023-06-08 13:2:14.4850,42.66,-3040.64,-126.91,3043.58
2023-06-08 13:2:14.5840,42.95,-3052.88,-107.67,3055.08
2023-06-08 13:2:14.6840,44.88,-3044.76,-102.16,3046.81
2023-06-08 13:2:14.7830,46.9,-3050.84,-96.01,3052.71
2023-06-08 13:2:14.8820,47.86,-3046.21,-93.55,3048.02
2023-06-08 13:2:14.9820,49.56,-3052.44,-86.49,3054.07
2023-06-08 13:2:15.0810,51.11,-3044.8,-86.07,3046.45
2023-06-08 13:2:15.1810,53.16,-3051.0,-87.98,3052.73
2023-06-08 13:2:15.2800,54.16,-3046.52,-88.72,3048.29
2023-06-08 13:2:15.3790,55.56,-3051.49,-93.39,3053.43
2023-06-08 13:2:15.4780,56.43,-3046.07,-83.19,3047.73
2023-06-08 13:2:15.5780,57.46,-3049.58,-80.28,3051.17
2023-06-08 13:2:15.6770,57.22,-3046.41,-75.84,3047.89
2023-06-08 13:2:15.7770,56.93,-3047.5,-63.22,3048.69
2023-06-08 13:2:15.8760,56.8,-3046.1,-59.99,3047.22
2023-06-08 13:2:15.9750,56.38,-3046.35,-60.22,3047.47
2023-06-08 13:2:16.0750,54.71,-3048.75,-61.14,3049.85
2023-06-08 13:2:16.1740,54.52,-3045.84,-60.02,3046.92
2023-06-08 13:2:16.2740,54.4,-3047.3,-58.67,3048.35
2023-06-08 13:2:16.3730,53.38,-3042.55,-55.19,3043.52
2023-06-08 13:2:16.4720,53.64,-3050.72,-50.72,3051.61
2023-06-08 13:2:16.5720,54.18,-3044.85,-68.11,3046.09
2023-06-08 13:2:16.6710,53.55,-3049.79,-62.68,3050.91
2023-06-08 13:2:16.7700,52.66,-3044.94,-56.13,3045.91
2023-06-08 13:2:16.8700,52.79,-3046.84,-65.19,3047.99
2023-06-08 13:2:16.9690,51.66,-3047.83,-54.93,3048.76
2023-06-08 13:2:17.0690,51.29,-3051.41,-51.55,3052.28
2023-06-08 13:2:17.1680,52.91,-3053.72,-50.4,3054.59
2023-06-08 13:2:17.2670,53.02,-3048.63,-61.33,3049.7
2023-06-08 13:2:17.3670,52.6,-3054.49,-43.54,3055.25
2023-06-08 13:2:17.4660,53.89,-3048.33,-46.13,3049.15
2023-06-08 13:2:17.5660,53.01,-3054.59,-21.71,3055.13
2023-06-08 13:2:17.6650,53.91,-3052.35,-40.85,3053.1
2023-06-08 13:2:17.7640,59.15,-3052.94,-40.38,3053.78
2023-06-08 13:2:17.8640,62.57,-3063.57,-41.83,3064.5
