time,Bx,By,Bz,Btotal
2023-06-08 13:3:56.1570,62.95,-1892.69,-94.95,1896.12
2023-06-08 13:3:56.2570,62.83,-1893.82,-94.46,1897.21
2023-06-08 13:3:56.3560,63.19,-1895.29,-94.06,1898.67
2023-06-08 13:3:56.4550,63.11,-1896.78,-93.89,1900.15
2023-06-08 13:3:56.5550,63.05,-1898.08,-94.44,1901.48
2023-06-08 13:3:56.6540,63.0,-1899.43,-94.1,1902.81
2023-06-08 13:3:56.7530,63.04,-1900.0,-94.71,1903.4
2023-06-08 13:3:56.8530,62.84,-1900.78,-94.43,1904.16
2023-06-08 13:3:56.9520,62.66,-1899.55,-92.71,1902.84
2023-06-08 13:3:57.0520,62.64,-1899.49,-91.69,1902.73
2023-06-08 13:3:57.1510,62.59,-1898.86,-91.79,1902.11
2023-06-08 13:3:57.2500,64.33,-1896.51,-93.53,1899.9
2023-06-08 13:3:57.3500,59.75,-1895.26,-86.21,1898.16
2023-06-08 13:3:57.4490,56.95,-1893.81,-81.45,1896.41
2023-06-08 13:3:57.5490,57.16,-1892.41,-78.7,1894.91
2023-06-08 13:3:57.6480,51.01,-1889.9,-64.53,1891.69
2023-06-08 13:3:57.7470,46.5,-1888.06,-54.3,1889.42
2023-06-08 13:3:57.8470,50.76,-1887.96,-57.61,1889.52
2023-06-08 13:3:57.9460,46.41,-1886.56,-50.12,1887.8
2023-06-08 13:3:58.0450,45.29,-1886.39,-50.12,1887.59
2023-06-08 13:3:58.1450,44.78,-1886.29,-50.6,1887.5
2023-06-08 13:3:58.2440,47.8,-1886.42,-55.25,1887.83
2023-06-08 13:3:58.3440,50.43,-1887.91,-58.67,1889.49
2023-06-08 13:3:58.4430,55.01,-1888.14,-64.93,1890.05
2023-06-08 13:3:58.5420,59.21,-1887.61,-70.03,1889.84
2023-06-08 13:3:58.6420,62.08,-1887.32,-73.06,1889.76
2023-06-08 13:3:58.7410,67.37,-1885.41,-77.26,1888.19
2023-06-08 13:3:58.8410,66.38,-1885.6,-75.47,1888.28
2023-06-08 13:3:58.9400,73.8,-1885.49,-85.44,1888.87
2023-06-08 13:3:59.0390,74.94,-1885.13,-85.9,1888.58
2023-06-08 13:3:59.1390,73.16,-1883.98,-82.85,1887.22
2023-06-08 13:3:59.2380,72.94,-1884.04,-82.77,1887.26
2023-06-08 13:3:59.3380,70.87,-1883.72,-81.07,1886.79
