time,Bx,By,Bz,Btotal
2023-06-08 9:45:23.1340,79.8,-3714.38,32.19,3715.38
2023-06-08 9:45:23.2340,79.87,-3714.41,32.52,3715.41
2023-06-08 9:45:23.3320,79.78,-3714.84,32.32,3715.84
2023-06-08 9:45:23.4300,79.71,-3715.2,32.57,3716.19
2023-06-08 9:45:23.5300,79.52,-3714.7,32.16,3715.69
2023-06-08 9:45:23.6330,79.48,-3715.23,32.71,3716.23
2023-06-08 9:45:23.7330,79.72,-3714.71,32.43,3715.71
2023-06-08 9:45:23.8280,79.36,-3715.35,32.35,3716.33
2023-06-08 9:45:23.9280,79.26,-3714.41,32.25,3715.39
2023-06-08 9:45:24.0260,79.3,-3713.96,30.16,3714.93
2023-06-08 9:45:24.1280,80.32,-3713.84,30.43,3714.83
2023-06-08 9:45:24.2260,81.09,-3712.89,28.64,3713.88
2023-06-08 9:45:24.3250,83.57,-3712.59,31.71,3713.67
2023-06-08 9:45:24.4250,83.51,-3712.37,33.17,3713.46
2023-06-08 9:45:24.5250,86.59,-3711.6,40.92,3712.84
2023-06-08 9:45:24.6260,87.03,-3711.29,37.41,3712.5
2023-06-08 9:45:24.7220,85.92,-3710.66,31.99,3711.79
2023-06-08 9:45:24.8200,85.44,-3708.55,24.67,3709.61
2023-06-08 9:45:24.9210,83.68,-3708.13,13.5,3709.1
2023-06-08 9:45:25.0220,82.06,-3707.16,5.29,3708.07
2023-06-08 9:45:25.1230,79.13,-3705.8,-1.62,3706.64
2023-06-08 9:45:25.2200,78.52,-3706.02,-5.12,3706.85
2023-06-08 9:45:25.3180,77.29,-3706.8,-5.35,3707.61
2023-06-08 9:45:25.4180,76.95,-3706.29,0.35,3707.08
2023-06-08 9:45:25.5160,76.28,-3706.88,9.18,3707.68
2023-06-08 9:45:25.6160,74.97,-3708.63,11.04,3709.4
2023-06-08 9:45:25.7170,73.89,-3708.82,7.37,3709.56
2023-06-08 9:45:25.8160,72.9,-3708.1,6.75,3708.82
2023-06-08 9:45:25.9160,71.1,-3707.18,3.28,3707.86
2023-06-08 9:45:26.0150,70.19,-3707.01,2.64,3707.67
2023-06-08 9:45:26.1160,67.95,-3706.11,5.27,3706.73
2023-06-08 9:45:26.2120,65.83,-3707.4,5.14,3707.98
2023-06-08 9:45:26.3120,63.54,-3706.58,6.59,3707.13
2023-06-08 9:45:26.4130,62.1,-3708.63,10.91,3709.17
2023-06-08 9:45:26.5160,61.92,-3710.6,12.47,3711.14
2023-06-08 9:45:26.6110,58.21,-3711.75,5.44,3712.21
2023-06-08 9:45:26.7120,55.25,-3711.56,3.41,3711.97
2023-06-08 9:45:26.8130,52.34,-3710.87,-0.95,3711.24
2023-06-08 9:45:26.9120,49.34,-3706.13,-4.12,3706.46
2023-06-08 9:45:27.0080,41.81,-3691.35,-19.77,3691.64
2023-06-08 9:45:27.1050,37.86,-3723.2,-63.89,3723.94
2023-06-08 9:45:27.2050,42.55,-3760.76,-41.82,3761.23
2023-06-08 9:45:27.3050,54.2,-3778.14,3.84,3778.53
2023-06-08 9:45:27.4040,58.77,-3786.87,8.81,3787.33
2023-06-08 9:45:27.5040,60.35,-3792.25,5.2,3792.74
2023-06-08 9:45:27.6030,61.52,-3794.89,3.95,3795.39
2023-06-08 9:45:27.7050,63.27,-3794.89,3.65,3795.42
2023-06-08 9:45:27.8020,63.68,-3794.17,5.25,3794.71
2023-06-08 9:45:27.9020,64.18,-3793.44,9.26,3794.0
2023-06-08 9:45:28.0030,64.46,-3794.07,12.48,3794.64
2023-06-08 9:45:28.1020,64.67,-3795.05,18.34,3795.65
2023-06-08 9:45:28.2010,64.44,-3796.42,23.27,3797.04
2023-06-08 9:45:28.3010,65.01,-3796.12,25.64,3796.77
2023-06-08 9:45:28.3990,65.57,-3795.35,25.52,3796.01
2023-06-08 9:45:28.4990,64.0,-3792.9,24.04,3793.51
2023-06-08 9:45:28.5980,62.45,-3793.01,25.48,3793.61
2023-06-08 9:45:28.6980,61.88,-3793.73,28.75,3794.35
2023-06-08 9:45:28.7980,61.31,-3793.97,30.13,3794.59
2023-06-08 9:45:28.8950,61.22,-3794.23,29.49,3794.84
2023-06-08 9:45:28.9940,60.29,-3793.04,29.64,3793.64
2023-06-08 9:45:29.0940,58.5,-3793.22,28.99,3793.78
2023-06-08 9:45:29.1940,56.05,-3793.96,28.12,3794.48
2023-06-08 9:45:29.2930,55.29,-3795.4,25.75,3795.89
2023-06-08 9:45:29.3950,53.08,-3795.63,23.22,3796.08
2023-06-08 9:45:29.4940,50.57,-3793.57,21.25,3793.97
2023-06-08 9:45:29.5920,49.01,-3789.34,23.4,3789.73
2023-06-08 9:45:29.6910,48.27,-3786.67,24.74,3787.06
2023-06-08 9:45:29.7900,46.01,-3785.62,27.9,3786.01
2023-06-08 9:45:29.8900,45.94,-3785.39,31.02,3785.8
2023-06-08 9:45:29.9890,47.18,-3783.1,34.21,3783.55
2023-06-08 9:45:30.0920,49.19,-3785.45,38.97,3785.97
2023-06-08 9:45:30.1890,50.59,-3787.37,35.86,3787.88
2023-06-08 9:45:30.2890,58.0,-3793.59,17.37,3794.07
2023-06-08 9:45:30.3850,59.12,-3796.97,14.13,3797.45
2023-06-08 9:45:30.4890,48.78,-3792.11,29.18,3792.54
2023-06-08 9:45:30.5870,52.1,-3779.59,23.34,3780.02
2023-06-08 9:45:30.6850,53.56,-3778.35,-0.99,3778.73
2023-06-08 9:45:30.7830,54.55,-3777.68,-9.61,3778.09
2023-06-08 9:45:30.8840,52.44,-3777.8,-11.71,3778.18
2023-06-08 9:45:30.9810,50.49,-3779.08,-12.09,3779.44
2023-06-08 9:45:31.0820,47.97,-3780.59,-14.64,3780.92
2023-06-08 9:45:31.1800,46.77,-3780.05,-16.23,3780.37
2023-06-08 9:45:31.2810,44.99,-3779.07,-16.81,3779.37
2023-06-08 9:45:31.3790,44.2,-3777.82,-18.07,3778.12
