time,Bx,By,Bz,Btotal
2023-06-06 14:4:32.3410,12.26,4456.88,960.38,4559.2
2023-06-06 14:4:32.4400,12.19,4456.87,960.71,4559.25
2023-06-06 14:4:32.5360,12.52,4456.87,960.16,4559.14
2023-06-06 14:4:32.6350,12.52,4456.89,960.59,4559.25
2023-06-06 14:4:32.7350,12.24,4456.92,960.03,4559.16
2023-06-06 14:4:32.8340,12.44,4456.86,960.04,4559.11
2023-06-06 14:4:32.9330,12.15,4456.9,960.16,4559.17
2023-06-06 14:4:33.0330,12.05,4456.87,959.92,4559.09
2023-06-06 14:4:33.1320,12.01,4456.94,959.97,4559.16
2023-06-06 14:4:33.2320,12.76,4456.97,959.06,4559.0
2023-06-06 14:4:33.3310,12.56,4456.97,957.71,4558.72
2023-06-06 14:4:33.4310,12.34,4456.97,955.59,4558.27
2023-06-06 14:4:33.5320,11.88,4456.98,953.9,4557.94
2023-06-06 14:4:33.6320,10.86,4457.05,950.47,4557.28
2023-06-06 14:4:33.7320,9.08,4457.09,944.63,4556.1
2023-06-06 14:4:33.8310,6.9,4457.17,940.46,4555.31
2023-06-06 14:4:33.9310,4.75,4457.13,939.11,4554.99
2023-06-06 14:4:34.0300,2.49,4457.09,937.57,4554.63
2023-06-06 14:4:34.1300,1.13,4457.07,934.48,4553.98
2023-06-06 14:4:34.2250,3.55,4454.12,930.69,4550.31
2023-06-06 14:4:34.3250,6.47,4453.0,929.77,4549.04
2023-06-06 14:4:34.4240,7.67,4450.62,930.49,4546.86
2023-06-06 14:4:34.5240,8.95,4449.35,931.09,4545.74
2023-06-06 14:4:34.6240,9.21,4445.19,931.52,4541.76
2023-06-06 14:4:34.7230,8.31,4442.98,930.76,4539.44
2023-06-06 14:4:34.8220,9.41,4442.09,929.35,4538.28
2023-06-06 14:4:34.9210,9.5,4441.36,926.08,4536.89
2023-06-06 14:4:35.0210,8.82,4439.22,925.61,4534.71
2023-06-06 14:4:35.1210,8.72,4439.46,923.53,4534.51
2023-06-06 14:4:35.2210,7.64,4438.4,922.15,4533.19
2023-06-06 14:4:35.3220,5.42,4439.13,922.39,4533.95
2023-06-06 14:4:35.4220,2.57,4440.31,922.5,4535.13
2023-06-06 14:4:35.5220,-1.86,4443.13,925.77,4538.56
2023-06-06 14:4:35.6210,-5.6,4441.9,924.6,4537.12
2023-06-06 14:4:35.7210,-10.17,4441.0,925.35,4536.39
2023-06-06 14:4:35.8190,-15.6,4439.58,925.33,4535.01
2023-06-06 14:4:35.9190,-16.96,4438.76,923.56,4533.85
2023-06-06 14:4:36.0150,-19.04,4439.26,920.21,4533.67
2023-06-06 14:4:36.1140,-20.72,4442.64,917.65,4536.47
2023-06-06 14:4:36.2130,-20.85,4444.31,915.87,4537.75
2023-06-06 14:4:36.3130,-21.17,4446.88,911.73,4539.43
2023-06-06 14:4:36.4120,-24.65,4447.24,911.94,4539.84
2023-06-06 14:4:36.5120,-29.65,4447.75,915.8,4541.15
2023-06-06 14:4:36.6110,-35.95,4449.79,930.23,4546.12
2023-06-06 14:4:36.7130,-39.43,4443.96,932.38,4540.89
2023-06-06 14:4:36.8120,-42.21,4439.29,935.89,4537.07
2023-06-06 14:4:36.9120,-44.42,4438.56,939.24,4537.06
2023-06-06 14:4:37.0120,-37.63,4437.95,939.25,4536.41
2023-06-06 14:4:37.1120,-30.87,4440.55,936.8,4538.39
2023-06-06 14:4:37.2110,-29.81,4442.72,936.62,4540.47
2023-06-06 14:4:37.3120,-30.33,4445.17,938.22,4543.21
2023-06-06 14:4:37.4120,-27.47,4445.09,933.27,4542.09
2023-06-06 14:4:37.5120,-21.59,4444.77,921.81,4539.41
2023-06-06 14:4:37.6110,-13.82,4444.55,909.28,4536.63
2023-06-06 14:4:37.7110,-8.24,4442.87,902.44,4533.6
2023-06-06 14:4:37.8100,-1.85,4444.61,898.36,4534.49
2023-06-06 14:4:37.9100,2.37,4440.81,895.07,4530.12
2023-06-06 14:4:38.0090,19.51,4443.81,886.96,4531.51
2023-06-06 14:4:38.1040,27.51,4446.32,884.75,4533.57
2023-06-06 14:4:38.2040,34.23,4450.06,882.23,4536.8
2023-06-06 14:4:38.3030,40.29,4447.5,879.31,4533.77
2023-06-06 14:4:38.4030,31.61,4446.15,876.02,4531.74
2023-06-06 14:4:38.5030,25.77,4440.13,868.11,4524.27
2023-06-06 14:4:38.6010,25.15,4437.16,865.95,4520.94
2023-06-06 14:4:38.7010,25.11,4438.26,868.36,4522.48
2023-06-06 14:4:38.8010,22.45,4439.22,874.7,4524.63
2023-06-06 14:4:38.9000,18.31,4439.19,879.12,4525.44
2023-06-06 14:4:39.0010,12.79,4438.56,887.0,4526.34
2023-06-06 14:4:39.1010,4.86,4437.81,894.35,4527.03
2023-06-06 14:4:39.2010,-0.34,4435.68,901.63,4526.39
2023-06-06 14:4:39.3020,-6.01,4435.3,910.0,4527.7
2023-06-06 14:4:39.4000,-11.34,4436.0,922.34,4530.88
2023-06-06 14:4:39.5000,-15.84,4438.69,936.03,4536.34
2023-06-06 14:4:39.5990,-19.43,4440.24,947.67,4540.29
2023-06-06 14:4:39.6990,-21.81,4439.62,955.4,4541.31
2023-06-06 14:4:39.7940,-25.09,4438.33,963.4,4541.76
2023-06-06 14:4:39.8930,-29.57,4436.72,973.96,4542.46
2023-06-06 14:4:39.9930,-31.19,4434.62,979.37,4541.58
2023-06-06 14:4:40.0930,-32.46,4434.34,984.06,4542.34
2023-06-06 14:4:40.1920,-36.52,4432.0,994.49,4542.35
2023-06-06 14:4:40.2900,-40.24,4431.42,1005.01,4544.13
2023-06-06 14:4:40.3890,-43.47,4431.28,1014.11,4546.05
2023-06-06 14:4:40.4900,-45.89,4431.44,1022.39,4548.08
2023-06-06 14:4:40.5890,-46.61,4435.22,1027.62,4552.95
2023-06-06 14:4:40.6900,-41.58,4435.99,1023.84,4552.8
2023-06-06 14:4:40.7890,-5.87,4434.57,979.15,4541.39
2023-06-06 14:4:40.8890,6.58,4433.75,960.65,4536.63
2023-06-06 14:4:40.9890,11.6,4432.28,955.4,4534.1
2023-06-06 14:4:41.0880,17.31,4429.57,952.08,4530.76
2023-06-06 14:4:41.1870,21.13,4427.15,948.11,4527.59
2023-06-06 14:4:41.2830,23.39,4426.62,945.24,4526.48
2023-06-06 14:4:41.3820,23.28,4425.94,942.84,4525.31
2023-06-06 14:4:41.4810,23.77,4425.9,938.76,4524.43
2023-06-06 14:4:41.5810,23.67,4423.74,935.0,4521.54
2023-06-06 14:4:41.6800,23.06,4421.99,931.87,4519.17
2023-06-06 14:4:41.7790,22.01,4424.34,932.87,4521.67
2023-06-06 14:4:41.8790,20.67,4423.63,931.74,4520.74
2023-06-06 14:4:41.9790,18.19,4424.2,932.36,4521.41
2023-06-06 14:4:42.0780,13.98,4422.91,934.43,4520.56
2023-06-06 14:4:42.1780,10.19,4421.07,932.71,4518.4
2023-06-06 14:4:42.2780,8.6,4429.47,958.47,4531.99
2023-06-06 14:4:42.3790,-0.63,4447.19,987.41,4555.49
2023-06-06 14:4:42.4790,-20.85,4455.55,1015.57,4569.87
2023-06-06 14:4:42.5790,-32.87,4455.6,1034.26,4574.18
2023-06-06 14:4:42.6780,-19.71,4434.47,1002.2,4546.35
2023-06-06 14:4:42.7770,-1.05,4422.79,930.33,4519.58
2023-06-06 14:4:42.8770,-2.69,4418.97,923.53,4514.44
2023-06-06 14:4:42.9760,-3.83,4417.1,919.67,4511.83
2023-06-06 14:4:43.0720,-5.09,4418.86,915.98,4512.8
2023-06-06 14:4:43.1710,-9.44,4425.06,918.2,4519.33
2023-06-06 14:4:43.2700,-13.2,4429.62,923.0,4524.78
2023-06-06 14:4:43.3700,-20.87,4433.51,940.87,4532.29
2023-06-06 14:4:43.4690,-23.23,4424.84,939.38,4523.51
2023-06-06 14:4:43.5690,-26.55,4423.87,946.63,4524.1
2023-06-06 14:4:43.6680,-26.62,4419.95,948.91,4520.74
2023-06-06 14:4:43.7670,-18.38,4415.83,946.93,4516.26
2023-06-06 14:4:43.8670,-14.02,4414.91,946.46,4515.24
2023-06-06 14:4:43.9670,-13.46,4416.4,947.51,4516.91
2023-06-06 14:4:44.0670,-11.99,4420.32,947.19,4520.68
